trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.905941876990255,go,0.05,0.955,1.955,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,2,1,0.4613926290185191,go,0.05,0.925,1.925,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,2,1,0.5407058279961348,go,0.05,0.925,1.925,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.5018989639938809,go,0.05,0.865,1.865,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.5813730359950569,go,0.05,1.045,2.045,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,0.3774195080040954,go,0.1,0.745,1.745,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.42015757400076836,go,0.1,0.82,1.8199999999999998,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,0.3762485879997257,go,0.1,1.09,2.09,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,1,0,0.41275100799975917,go,0.1,0.7,1.7,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.4601931420038454,go,0.1,0.76,1.76,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,,stop,0.15000000000000002,0.88,1.8800000000000001,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,0.5428501059941482,go,0.15000000000000002,0.73,1.73,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.3799507739895489,go,0.15000000000000002,0.91,1.9100000000000001,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,2,0,0.37785565899685025,go,0.15000000000000002,0.955,1.955,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.4996194979758002,go,0.15000000000000002,1.045,2.045,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,2,1,0.459381308988668,go,0.15000000000000002,1.045,2.045,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.4194941729947459,go,0.15000000000000002,0.985,1.9849999999999999,038,Practice,R,,2019_Aug_25_1151,SST,3.0.7,23.995673329823635,
