trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.5094808419817127,go,0.05,0.955,1.955,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,1,0,0.2276563870254904,go,0.05,0.925,1.925,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,1,0,0.23664337501395494,go,0.05,0.925,1.925,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.20016421895707026,go,0.05,0.865,1.865,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.19647571997484192,go,0.05,1.045,2.045,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,1,0,0.19911977899027988,go,0.1,0.745,1.745,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.2635350779746659,go,0.1,0.82,1.8199999999999998,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,1,0,0.19840397697407752,go,0.1,1.09,2.09,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,1,0,0.2321273889974691,go,0.1,0.7,1.7,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.23068377800518647,go,0.1,0.76,1.76,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,1,0,0.25510990899056196,stop,0.05,0.88,2.024890091009438,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,1,0,0.23146061197621748,go,0.05,0.73,1.73,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.22375861799810082,go,0.05,0.91,1.9100000000000001,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.4583535070414655,go,0.05,0.955,1.955,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.3378361280192621,go,0.05,1.045,2.045,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,1,0,0.23077112098690122,go,0.05,1.045,2.045,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.20069085498107597,go,0.05,0.985,1.9849999999999999,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,1,0,0.2368776840157807,stop,0.0,0.76,1.8731223159842194,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,1,1,0.2345741679891944,go,0.0,0.775,1.775,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,1,0,0.2693022420280613,go,0.0,1.015,2.0149999999999997,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,21,21,21,1,1,0.23247309098951519,go,0.0,0.76,1.76,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,22,22,22,1,0,0.25274805701337755,stop,0.0,0.985,2.032251942986622,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,23,23,23,1,0,0.23397833900526166,go,0.0,0.715,1.7149999999999999,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,24,24,24,1,1,0.23508243495598435,go,0.0,0.745,1.745,adkeyboard,Practice,R,2,2019_Aug_31_0902,SST,3.0.7,30.038762196743246,
