trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.BMP,1,0.05,0.955,1,1,0.5094808419817127,1.955,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,1,0,0.2276563870254904,1.925,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,1,0,0.23664337501395494,1.925,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.865,1,1,0.20016421895707026,1.865,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,1.045,1,1,0.19647571997484192,2.045,,adkeyboard,sst_trial_order_practice.csv,R
stop,sst_images/Right_Arrow.BMP,none,0.1,0.79,,1,[],1.79,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.1,0.745,1,0,0.19911977899027988,1.745,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.1,0.82,1,1,0.2635350779746659,1.8199999999999998,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.1,1.09,1,0,0.19840397697407752,2.09,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.1,0.7,1,0,0.2321273889974691,1.7,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.1,0.76,1,1,0.23068377800518647,1.76,,adkeyboard,sst_trial_order_practice.csv,R
stop,sst_images/Left_Arrow.BMP,none,0.05,0.88,1,0,0.25510990899056196,2.024890091009438,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.73,1,0,0.23146061197621748,1.73,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.91,1,1,0.22375861799810082,1.9100000000000001,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.955,1,1,0.4583535070414655,1.955,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,1.045,1,1,0.3378361280192621,2.045,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,1.045,1,0,0.23077112098690122,2.045,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.985,1,1,0.20069085498107597,1.9849999999999999,,adkeyboard,sst_trial_order_practice.csv,R
stop,sst_images/Left_Arrow.BMP,none,0.0,0.76,1,0,0.2368776840157807,1.8731223159842194,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.775,1,1,0.2345741679891944,1.775,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,1.015,1,0,0.2693022420280613,2.0149999999999997,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.76,1,1,0.23247309098951519,1.76,,adkeyboard,sst_trial_order_practice.csv,R
stop,sst_images/Right_Arrow.BMP,none,0.0,0.985,1,0,0.25274805701337755,2.032251942986622,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,0.715,1,0,0.23397833900526166,1.7149999999999999,,adkeyboard,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.745,1,1,0.23508243495598435,1.745,,adkeyboard,sst_trial_order_practice.csv,R
