trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.631967302004341,go,0.05,0.955,1.955,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,1,0,0.3671945010428317,go,0.05,0.925,1.925,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,1,0,0.3331047370447777,go,0.05,0.925,1.925,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.3322142589604482,go,0.05,0.865,1.865,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.4000793700106442,go,0.05,1.045,2.045,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,1,0,0.32507957302732393,stop,0.0,0.79,1.8149204269726762,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,1,0,0.33594230900052935,go,0.0,0.745,1.745,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.3329046599683352,go,0.0,0.82,1.8199999999999998,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,1,0,0.3330356579972431,go,0.0,1.09,2.09,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,1,0,0.3342433079960756,go,0.0,0.7,1.7,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.400088990048971,go,0.0,0.76,1.76,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,,stop,0.0,0.88,1.8800000000000001,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,1,0,0.37016703898552805,go,0.0,0.73,1.73,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.38961482798913494,go,0.0,0.91,1.9100000000000001,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,1,1,0.3690246940241195,go,0.0,0.955,1.955,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,1,1,0.3976912469952367,go,0.0,1.045,2.045,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,1,0,0.5635316889965907,go,0.0,1.045,2.045,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,1,1,0.3985966899781488,go,0.0,0.985,1.9849999999999999,adscanner,Practice,R,2,2019_Aug_31_0859,SST,3.0.7,30.030603678339222,
