trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.BMP,1,0.05,0.955,1,1,0.631967302004341,1.955,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,1,0,0.3671945010428317,1.925,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,1,0,0.3331047370447777,1.925,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.865,1,1,0.3322142589604482,1.865,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.05,1.045,1,1,0.4000793700106442,2.045,,adscanner,sst_trial_order_practice.csv,R
stop,sst_images/Right_Arrow.BMP,none,0.0,0.79,1,0,0.32507957302732393,1.8149204269726762,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,0.745,1,0,0.33594230900052935,1.745,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.82,1,1,0.3329046599683352,1.8199999999999998,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,1.09,1,0,0.3330356579972431,2.09,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,0.7,1,0,0.3342433079960756,1.7,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.76,1,1,0.400088990048971,1.76,,adscanner,sst_trial_order_practice.csv,R
stop,sst_images/Left_Arrow.BMP,none,0.0,0.88,,1,[],1.8800000000000001,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,0.73,1,0,0.37016703898552805,1.73,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.91,1,1,0.38961482798913494,1.9100000000000001,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.955,1,1,0.3690246940241195,1.955,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,1.045,1,1,0.3976912469952367,2.045,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,1.045,1,0,0.5635316889965907,2.045,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.985,1,1,0.3985966899781488,1.9849999999999999,,adscanner,sst_trial_order_practice.csv,R
stop,sst_images/Left_Arrow.BMP,none,0.0,0.76,,1,[],1.76,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.775,1,1,0.4367334919515997,1.775,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,1.015,1,0,0.4267551830271259,2.0149999999999997,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.76,1,1,0.39818638196447864,1.76,,adscanner,sst_trial_order_practice.csv,R
stop,sst_images/Right_Arrow.BMP,none,0.0,0.985,,1,[],1.985,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Right_Arrow.BMP,2,0.0,0.715,1,0,0.5018414630321786,1.7149999999999999,,adscanner,sst_trial_order_practice.csv,R
go,sst_images/Left_Arrow.BMP,1,0.0,0.745,1,1,0.5013842930202372,1.745,,adscanner,sst_trial_order_practice.csv,R
