trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,trial_order,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,0,0,0,0,0,0,0,None,0,go,0.05,0.732,1.732,,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,709,None,0,0,0,0,0,1,1,1,1,0,go,0.05,0.709,1.709,0.8230603419997351,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,832,None,0,0,0,0,0,2,2,2,None,1,stop,0.1,0.832,1.8319999999999999,,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,812,None,0,0,0,0,0,3,3,3,1,0,go,0.1,0.812,1.812,0.3632651320003788,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,916,None,0,0,0,0,0,4,4,4,1,1,go,0.1,0.916,1.916,0.3986849920001987,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,817,None,0,0,0,0,0,5,5,5,2,0,stop,0.05,0.817,1.8953985649999523,0.3216014350000478,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,1153,None,0,0,0,0,0,6,6,6,1,1,go,0.05,1.153,2.153,0.33364883399917744,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,1097,None,0,0,0,0,0,7,7,7,2,1,go,0.05,1.097,2.097,0.33367389399973035,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,771,None,0,0,0,0,0,8,8,8,2,0,go,0.05,0.771,1.771,0.4290206509995187,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,768,None,0,0,0,0,0,9,9,9,1,0,go,0.05,0.768,1.768,0.4040674769985344,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,709,None,0,0,0,0,0,10,10,10,None,1,stop,0.1,0.709,1.709,,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,861,None,0,0,0,0,0,11,11,11,1,0,go,0.1,0.861,1.861,0.37192159300138883,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,834,None,0,0,0,0,0,12,12,12,1,1,go,0.1,0.834,1.834,0.329375022000022,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,830,None,0,0,0,0,0,13,13,13,2,1,go,0.1,0.83,1.83,0.3679012890006561,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,1202,None,0,0,0,0,0,14,14,14,1,1,go,0.1,1.202,2.202,0.3352811160002602,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,929,None,0,0,0,0,0,15,15,15,None,1,stop,0.15000000000000002,0.929,1.929,,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,705,None,0,0,0,0,0,16,16,16,2,0,go,0.15000000000000002,0.705,1.705,0.3720525419994374,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,953,None,0,0,0,0,0,17,17,17,1,1,go,0.15000000000000002,0.953,1.9529999999999998,0.3361550030003855,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,795,None,0,0,0,0,0,18,18,18,1,0,go,0.15000000000000002,0.795,1.795,0.33490209099909407,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,910,None,0,0,0,0,0,19,19,19,2,0,go,0.15000000000000002,0.91,1.9100000000000001,0.3360402720009006,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,975,None,0,0,0,0,0,20,20,20,2,0,go,0.15000000000000002,0.975,1.975,0.06831276200136926,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,708,None,0,0,0,0,0,21,21,21,2,0,stop,0.10000000000000002,0.708,1.9613979690007983,0.19660203099920182,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Right_Arrow.bmp,None,2,838,None,0,0,0,0,0,22,22,22,1,0,go,0.10000000000000002,0.838,1.838,0.26635074200021336,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
go,sst_images/Left_Arrow.bmp,None,1,794,None,0,0,0,0,0,23,23,23,None,0,go,0.10000000000000002,0.794,1.794,,0001,1,R,2019_Aug_06_1227,stopSignal,3.0.7,29.980243199493966,
