trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,0,0,0,0,1,1,0.4204219080056646,go,0.05,0.955,1.955,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,0,0,0,0,1,1,1,2,1,0.3618228129998897,go,0.05,0.925,1.925,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,0,0,0,0,2,2,2,2,1,0.3537056709974422,go,0.05,0.925,1.925,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,0,0,0,0,3,3,3,1,1,0.346150954006589,go,0.05,0.865,1.865,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,0,0,0,0,4,4,4,1,1,0.31962766100332374,go,0.05,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,0,0,0,0,5,5,5,2,0,0.34031572999811033,stop,0.0,0.79,1.7996842700018898,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,0,0,0,0,6,6,6,2,1,0.38709965599991847,go,0.0,0.745,1.745,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,0,0,0,0,7,7,7,1,1,0.37200668399600545,go,0.0,0.82,1.8199999999999998,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,0,0,0,0,8,8,8,2,1,0.28484327000478515,go,0.0,1.09,2.09,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,0,0,0,0,9,9,9,2,1,0.34659384899714496,go,0.0,0.7,1.7,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,0,0,0,0,10,10,10,1,1,0.3537180619969149,go,0.0,0.76,1.76,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,0,0,0,0,11,11,11,None,1,,stop,0.0,0.88,1.8800000000000001,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,0,0,0,0,12,12,12,2,1,0.38692240200180095,go,0.0,0.73,1.73,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,0,0,0,0,13,13,13,1,1,0.31212923400016734,go,0.0,0.91,1.9100000000000001,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,0,14,14,14,2,0,0.25286172299820464,go,0.0,0.955,1.955,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,0,0,0,0,15,15,15,1,1,0.3374266550017637,go,0.0,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,0,0,0,0,16,16,16,2,1,0.3376226489999681,go,0.0,1.045,2.045,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,0,0,0,0,17,17,17,1,1,0.3291784809989622,go,0.0,0.985,1.9849999999999999,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,0,0,0,0,18,18,18,None,1,,stop,0.0,0.76,1.76,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,0,0,0,0,19,19,19,1,1,0.396548768003413,go,0.0,0.775,1.775,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,0,0,0,0,20,20,20,2,1,0.3040498509944882,go,0.0,1.015,2.0149999999999997,0001,Practice,R,2019_Aug_14_1209,stopSignal,3.0.7,59.63462343248128,
