trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,720,None,0,0,0,0,0,0,0,0,1,1,0.8535467179999614,go,0.05,0.72,1.72,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,815,None,0,0,0,0,0,1,1,1,2,1,0.5885172070002227,go,0.05,0.815,1.815,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,769,None,0,0,0,0,0,2,2,2,2,1,0.6664844200004154,go,0.05,0.769,1.7690000000000001,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,816,None,0,0,0,0,0,3,3,3,1,1,0.5816155499996967,go,0.05,0.816,1.8159999999999998,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,0,0,0,0,4,4,4,None,1,,stop,0.1,0.721,1.721,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,888,None,0,0,0,0,0,5,5,5,2,0,0.4225434749996566,go,0.1,0.888,1.888,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,900,None,0,0,0,0,0,6,6,6,2,1,0.46423359100026573,go,0.1,0.9,1.9,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1264,None,0,0,0,0,0,7,7,7,1,1,0.5895899389997794,go,0.1,1.264,2.2640000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,744,None,0,0,0,0,0,8,8,8,2,1,0.464584236000519,go,0.1,0.744,1.744,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,794,None,0,0,0,0,0,9,9,9,2,1,0.5462366279998605,go,0.1,0.794,1.794,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,901,None,0,0,0,0,0,10,10,10,1,1,0.46436164199985797,go,0.1,0.901,1.901,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,882,None,0,0,0,0,0,11,11,11,2,1,0.42127765500026726,go,0.1,0.882,1.8820000000000001,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,0,0,0,0,12,12,12,1,1,0.5875911930006623,go,0.1,0.732,1.732,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1173,None,0,0,0,0,0,13,13,13,1,1,0.6723547699994015,go,0.1,1.173,2.173,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1189,None,0,0,0,0,0,14,14,14,None,1,,stop,0.15000000000000002,1.189,2.189,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,755,None,0,0,0,0,0,15,15,15,2,0,0.4641983159999654,go,0.15000000000000002,0.755,1.755,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,806,None,0,0,0,0,0,16,16,16,2,1,0.546961774999545,go,0.15000000000000002,0.806,1.806,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,924,None,0,0,0,0,0,17,17,17,None,1,,stop,0.2,0.924,1.9240000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1139,None,0,0,0,0,0,18,18,18,1,1,0.5896752399994512,go,0.2,1.139,2.1390000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,725,None,0,0,0,0,0,19,19,19,1,1,0.5020593219996954,go,0.2,0.725,1.725,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,974,None,0,0,0,0,0,20,20,20,2,1,0.6700424310001836,go,0.2,0.974,1.974,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,729,None,0,0,0,0,0,21,21,21,None,1,,stop,0.25,0.729,1.7289999999999999,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,744,None,0,0,0,0,0,22,22,22,1,1,0.5049205830000574,go,0.25,0.744,1.744,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,1598,None,0,0,0,0,0,23,23,23,2,1,0.4979355309997118,go,0.25,1.598,2.598,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,992,None,0,0,0,0,0,24,24,24,1,1,0.5452493570001025,go,0.25,0.992,1.992,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,1022,None,0,0,0,0,0,25,25,25,2,1,0.4988318559999243,go,0.25,1.022,2.0220000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,929,None,0,0,0,0,0,26,26,26,2,0,0.535055100000136,stop,0.2,0.929,1.943944899999864,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,1590,None,0,0,0,0,0,27,27,27,2,1,0.6279957329998069,go,0.2,1.59,2.59,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1317,None,0,0,0,0,0,28,28,28,1,1,0.5877963620005175,go,0.2,1.317,2.317,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,832,None,0,0,0,0,0,29,29,29,2,1,0.5007652349995624,go,0.2,0.832,1.8319999999999999,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,956,None,0,0,0,0,0,30,30,30,2,1,0.5864667030000419,go,0.2,0.956,1.956,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,761,None,0,0,0,0,0,31,31,31,1,1,0.6289295740007219,go,0.2,0.761,1.7610000000000001,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,709,None,0,0,0,0,0,32,32,32,2,1,0.4572865969994382,go,0.2,0.709,1.709,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,0,0,0,0,33,33,33,None,1,,stop,0.25,0.721,1.7209999999999999,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,785,None,0,0,0,0,0,34,34,34,1,1,0.5874543619993347,go,0.25,0.785,1.7850000000000001,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1022,None,0,0,0,0,0,35,35,35,1,1,0.6711858810003832,go,0.25,1.022,2.0220000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,2000,None,0,0,0,0,0,36,36,36,2,1,0.46003215099972294,go,0.25,2.0,3.0,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,749,None,0,0,0,0,0,37,37,37,2,1,0.5038779490005254,go,0.25,0.749,1.749,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,826,None,0,0,0,0,0,38,38,38,1,1,0.5436495419999119,go,0.25,0.826,1.826,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,722,None,0,0,0,0,0,39,39,39,1,1,0.7936395639999319,go,0.25,0.722,1.722,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,749,None,0,0,0,0,0,40,40,40,2,1,0.5061557440003526,go,0.25,0.749,1.749,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,846,None,0,0,0,0,0,41,41,41,1,1,0.5040863920003176,go,0.25,0.846,1.846,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,792,None,0,0,0,0,0,42,42,42,1,1,0.5033811029998105,go,0.25,0.792,1.792,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,775,None,0,0,0,0,0,43,43,43,2,0,0.4644879409997884,stop,0.2,0.775,1.8605120590002115,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,733,None,0,0,0,0,0,44,44,44,2,1,0.6285658580000018,go,0.2,0.733,1.733,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,723,None,0,0,0,0,0,45,45,45,2,1,0.6261719039994205,go,0.2,0.723,1.7229999999999999,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,916,None,0,0,0,0,0,46,46,46,2,1,0.5421538729997337,go,0.2,0.916,1.916,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,851,None,0,0,0,0,0,47,47,47,None,1,,stop,0.25,0.851,1.851,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,744,None,0,0,0,0,0,48,48,48,1,1,0.5461829199994099,go,0.25,0.744,1.744,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,2000,None,0,0,0,0,0,49,49,49,1,1,0.6712584440001592,go,0.25,2.0,3.0,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Left_Arrow.bmp,None,1,1200,None,0,0,0,0,0,50,50,50,1,1,0.6302570220004782,go,0.25,1.2,2.2,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,809,None,0,0,0,0,0,51,51,51,2,1,0.5478775179999502,go,0.25,0.809,1.8090000000000002,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
go,sst_images/Right_Arrow.bmp,None,2,790,None,0,0,0,0,0,52,52,52,2,1,0.5471677200002887,go,0.25,0.79,1.79,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,816,None,0,0,0,0,0,53,53,53,1,0,0.48502700599965465,stop,0.2,0.816,1.8809729940003452,0001,Scanner,R,2019_Aug_15_1410,stopSignal,3.0.7,24.010897662860813,
