trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,975,None,0,0,0,0,2,None,0,go,0.05,0.975,1.975,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Right_Arrow.bmp,None,2,775,None,0,1,1,1,,None,0,go,0.05,0.775,1.775,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Right_Arrow.bmp,None,2,773,None,0,2,2,2,,None,0,go,0.05,0.773,1.7730000000000001,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Left_Arrow.bmp,None,1,747,None,0,3,3,3,,None,0,go,0.05,0.747,1.7469999999999999,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,709,None,0,4,4,4,,None,1,stop,0.1,0.709,1.709,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Left_Arrow.bmp,None,1,702,None,0,5,5,5,,None,0,go,0.1,0.702,1.702,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Right_Arrow.bmp,None,2,931,None,0,6,6,6,,None,0,go,0.1,0.931,1.931,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Left_Arrow.bmp,None,1,1149,None,0,7,7,7,,None,0,go,0.1,1.149,2.149,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
go,sst_images/Right_Arrow.bmp,None,2,748,None,0,8,8,8,,None,0,go,0.1,0.748,1.748,0005,Scanner,R,2,2019_Aug_20_1358,stopSignal,3.0.7,59.930603836149004,
,,,,,,,,,,,None,1,stop,0.15000000000000002,0.848,1.848,,,,,,,,,
