trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,1295,None,0,0,0,0,1,1,0.77229419399373,go,0.05,1.295,2.295,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,792,None,0,1,1,1,2,1,0.5458721530012554,go,0.05,0.792,1.792,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,738,None,0,2,2,2,None,1,,stop,0.1,0.738,1.738,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,750,None,0,3,3,3,2,1,0.5881079140017391,go,0.1,0.75,1.75,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,869,None,0,4,4,4,1,1,0.5891426320013124,go,0.1,0.869,1.869,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,5,5,5,1,1,0.6296518839953933,go,0.1,0.732,1.732,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,6,6,6,None,1,,stop,0.15000000000000002,0.721,1.721,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,769,None,0,7,7,7,2,1,0.7091308500021114,go,0.15000000000000002,0.769,1.7690000000000001,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,708,None,0,8,8,8,1,1,0.5424545389978448,go,0.15000000000000002,0.708,1.708,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,838,None,0,9,9,9,2,1,0.713787278997188,go,0.15000000000000002,0.838,1.838,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,712,None,0,10,10,10,2,1,0.6264554040026269,go,0.15000000000000002,0.712,1.712,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,707,None,0,11,11,11,1,1,0.6241331380006159,go,0.15000000000000002,0.707,1.7069999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,711,None,0,12,12,12,None,1,,stop,0.2,0.711,1.711,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,725,None,0,13,13,13,2,1,0.5453926289992523,go,0.2,0.725,1.725,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,771,None,0,14,14,14,1,1,0.7094003829988651,go,0.2,0.771,1.771,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,830,None,0,15,15,15,1,1,0.5874646860029316,go,0.2,0.83,1.83,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,797,None,0,16,16,16,1,1,0.6531940999993822,go,0.2,0.797,1.7970000000000002,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,832,None,0,17,17,17,2,1,0.5454693719948409,go,0.2,0.832,1.8319999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,762,None,0,18,18,18,1,1,0.4952421729976777,go,0.2,0.762,1.762,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
