trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,713,None,0,0,0,0,2,1,1,0.637004343996523,go,0.05,0.713,1.713,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,767,None,0,1,1,1,,2,0,0.24957080101012252,stop,0.0,0.767,1.8674291989898775,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Right_Arrow.bmp,None,2,928,None,0,2,2,2,,2,1,0.34728685999289155,go,0.0,0.928,1.928,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Right_Arrow.bmp,None,2,735,None,0,3,3,3,,2,1,0.352055779992952,go,0.0,0.735,1.7349999999999999,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Left_Arrow.bmp,None,1,1380,None,0,4,4,4,,1,1,0.4457795409980463,go,0.0,1.38,2.38,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Left_Arrow.bmp,None,1,769,None,0,5,5,5,,1,1,0.43698853500245605,go,0.0,0.769,1.7690000000000001,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,884,None,0,6,6,6,,2,0,0.24491475398826879,stop,0.0,0.884,1.9390852460117312,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Right_Arrow.bmp,None,2,732,None,0,7,7,7,,2,1,0.3031742760067573,go,0.0,0.732,1.732,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
go,sst_images/Left_Arrow.bmp,None,1,847,None,0,8,8,8,,1,1,0.26972708699759096,go,0.0,0.847,1.847,0009,Scanner,R,1,2019_Aug_21_0215,SST,3.0.7,60.091551279028806,
,,,,,,,,,,,2,0,0.26878864600439556,stop,0.0,1.278,2.3092113539956043,,,,,,,,,
