trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.BMP,1,0.05,0.955,,0,[],1.955,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,,0,[],1.925,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.05,0.925,,0,[],1.925,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.05,0.865,,0,[],1.865,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.05,1.045,,0,[],2.045,,1,practice,R
stop,sst_images/Right_Arrow.BMP,none,0.1,0.79,,1,[],1.79,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.1,0.745,,0,[],1.745,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.1,0.82,,0,[],1.8199999999999998,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.1,1.09,,0,[],2.09,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.1,0.7,,0,[],1.7,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.1,0.76,,0,[],1.76,,1,practice,R
stop,sst_images/Left_Arrow.BMP,none,0.15000000000000002,0.88,,1,[],1.8800000000000001,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.15000000000000002,0.73,,0,[],1.73,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.15000000000000002,0.91,,0,[],1.9100000000000001,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.15000000000000002,0.955,,0,[],1.955,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.15000000000000002,1.045,,0,[],2.045,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.15000000000000002,1.045,,0,[],2.045,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.15000000000000002,0.985,,0,[],1.9849999999999999,,1,practice,R
stop,sst_images/Left_Arrow.BMP,none,0.2,0.76,,1,[],1.76,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.2,0.775,,0,[],1.775,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.2,1.015,,0,[],2.0149999999999997,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.2,0.76,,0,[],1.76,,1,practice,R
stop,sst_images/Right_Arrow.BMP,none,0.25,0.985,,1,[],1.9849999999999999,,1,practice,R
go,sst_images/Right_Arrow.BMP,2,0.25,0.715,,0,[],1.7149999999999999,,1,practice,R
go,sst_images/Left_Arrow.BMP,1,0.25,0.745,,0,[],1.745,,1,practice,R
