trial_type,arrow_1,arrow_2,corrAns,jitter,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,trial_order,handedness,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,0,0,0,0,0,0,0,0,None,0,go,0.05,0.955,1.955,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,925,0,0,0,0,0,1,1,1,None,0,go,0.05,0.925,1.925,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,925,0,0,0,0,0,2,2,2,None,0,go,0.05,0.925,1.925,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,865,0,0,0,0,0,3,3,3,None,0,go,0.05,0.865,1.865,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,1045,0,0,0,0,0,4,4,4,None,0,go,0.05,1.045,2.045,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,0,0,0,0,0,5,5,5,None,1,stop,0.1,0.79,1.79,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,745,0,0,0,0,0,6,6,6,None,0,go,0.1,0.745,1.745,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,820,0,0,0,0,0,7,7,7,None,0,go,0.1,0.82,1.8199999999999998,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,1090,0,0,0,0,0,8,8,8,None,0,go,0.1,1.09,2.09,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,700,0,0,0,0,0,9,9,9,None,0,go,0.1,0.7,1.7,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,760,0,0,0,0,0,10,10,10,None,0,go,0.1,0.76,1.76,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,0,0,0,0,0,11,11,11,None,1,stop,0.15000000000000002,0.88,1.8800000000000001,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,730,0,0,0,0,0,12,12,12,None,0,go,0.15000000000000002,0.73,1.73,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,910,0,0,0,0,0,13,13,13,None,0,go,0.15000000000000002,0.91,1.9100000000000001,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,955,0,0,0,0,0,14,14,14,None,0,go,0.15000000000000002,0.955,1.955,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,1045,0,0,0,0,0,15,15,15,None,0,go,0.15000000000000002,1.045,2.045,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,1045,0,0,0,0,0,16,16,16,None,0,go,0.15000000000000002,1.045,2.045,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,985,0,0,0,0,0,17,17,17,None,0,go,0.15000000000000002,0.985,1.9849999999999999,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,0,0,0,0,0,18,18,18,None,1,stop,0.2,0.76,1.76,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,775,0,0,0,0,0,19,19,19,None,0,go,0.2,0.775,1.775,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,1015,0,0,0,0,0,20,20,20,None,0,go,0.2,1.015,2.0149999999999997,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,760,0,0,0,0,0,21,21,21,None,0,go,0.2,0.76,1.76,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,0,0,0,0,0,22,22,22,None,1,stop,0.25,0.985,1.9849999999999999,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Right_Arrow.BMP,None,2,715,0,0,0,0,0,23,23,23,None,0,go,0.25,0.715,1.7149999999999999,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
go,sst_images/Left_Arrow.BMP,None,1,745,0,0,0,0,0,24,24,24,None,0,go,0.25,0.745,1.745,1,practice,R,2019_Aug_12_1223,stopSignal,3.0.7,60.17362992576614,
