trial_type,arrow_1,arrow_2,corrAns,jiiter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,1105,
go,sst_images/Right_Arrow.bmp,,2,788,
go,sst_images/Right_Arrow.bmp,,2,708,
go,sst_images/Left_Arrow.bmp,,1,933,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,981,
go,sst_images/Left_Arrow.bmp,,1,717,
go,sst_images/Right_Arrow.bmp,,2,757,
go,sst_images/Left_Arrow.bmp,,1,840,
go,sst_images/Right_Arrow.bmp,,2,740,
go,sst_images/Right_Arrow.bmp,,2,881,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,803,
go,sst_images/Left_Arrow.bmp,,1,829,
go,sst_images/Right_Arrow.bmp,,2,745,
go,sst_images/Left_Arrow.bmp,,1,701,
go,sst_images/Left_Arrow.bmp,,1,799,
go,sst_images/Left_Arrow.bmp,,1,1612,
go,sst_images/Right_Arrow.bmp,,2,1570,
go,sst_images/Left_Arrow.bmp,,1,890,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1003,
go,sst_images/Left_Arrow.bmp,,1,970,
go,sst_images/Right_Arrow.bmp,,2,858,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,757,
go,sst_images/Left_Arrow.bmp,,1,840,
go,sst_images/Right_Arrow.bmp,,2,725,
go,sst_images/Left_Arrow.bmp,,1,748,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,842,
go,sst_images/Right_Arrow.bmp,,2,1612,
go,sst_images/Right_Arrow.bmp,,2,727,
go,sst_images/Left_Arrow.bmp,,1,803,
go,sst_images/Right_Arrow.bmp,,2,703,
go,sst_images/Right_Arrow.bmp,,2,881,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,911,
go,sst_images/Left_Arrow.bmp,,1,765,
go,sst_images/Right_Arrow.bmp,,2,1094,
go,sst_images/Left_Arrow.bmp,,1,939,
go,sst_images/Left_Arrow.bmp,,1,847,
go,sst_images/Right_Arrow.bmp,,2,1059,
