trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,852,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1169,
go,sst_images/Right_Arrow.bmp,,2,782,
go,sst_images/Right_Arrow.bmp,,2,991,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,763,
go,sst_images/Left_Arrow.bmp,,1,723,
go,sst_images/Left_Arrow.bmp,,1,778,
go,sst_images/Right_Arrow.bmp,,2,706,
go,sst_images/Left_Arrow.bmp,,1,1057,
go,sst_images/Right_Arrow.bmp,,2,765,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,885,
go,sst_images/Right_Arrow.bmp,,2,994,
go,sst_images/Left_Arrow.bmp,,1,737,
go,sst_images/Right_Arrow.bmp,,2,833,
go,sst_images/Left_Arrow.bmp,,1,897,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,737,
go,sst_images/Left_Arrow.bmp,,1,857,
go,sst_images/Left_Arrow.bmp,,1,784,
go,sst_images/Right_Arrow.bmp,,2,1098,
go,sst_images/Left_Arrow.bmp,,1,928,
go,sst_images/Left_Arrow.bmp,,1,1065,
go,sst_images/Right_Arrow.bmp,,2,1318,
go,sst_images/Left_Arrow.bmp,,1,703,
go,sst_images/Right_Arrow.bmp,,2,735,
go,sst_images/Left_Arrow.bmp,,1,850,
go,sst_images/Right_Arrow.bmp,,2,887,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,833,
go,sst_images/Right_Arrow.bmp,,2,730,
go,sst_images/Left_Arrow.bmp,,1,766,
go,sst_images/Right_Arrow.bmp,,2,738,
go,sst_images/Right_Arrow.bmp,,2,834,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,730,
go,sst_images/Left_Arrow.bmp,,1,720,
go,sst_images/Right_Arrow.bmp,,2,748,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,829,
go,sst_images/Left_Arrow.bmp,,1,720,
go,sst_images/Left_Arrow.bmp,,1,1032,
go,sst_images/Right_Arrow.bmp,,2,744,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1065,
go,sst_images/Right_Arrow.bmp,,2,852,
go,sst_images/Left_Arrow.bmp,,1,1105,
go,sst_images/Left_Arrow.bmp,,1,728,
go,sst_images/Right_Arrow.bmp,,2,730,
go,sst_images/Left_Arrow.bmp,,1,730,
go,sst_images/Left_Arrow.bmp,,1,905,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,897,
go,sst_images/Right_Arrow.bmp,,2,790,
go,sst_images/Right_Arrow.bmp,,2,905,
go,sst_images/Right_Arrow.bmp,,2,975,
go,sst_images/Left_Arrow.bmp,,1,745,
go,sst_images/Left_Arrow.bmp,,1,887,
go,sst_images/Left_Arrow.bmp,,1,786,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,742,
go,sst_images/Right_Arrow.bmp,,2,702,
go,sst_images/Right_Arrow.bmp,,2,746,
go,sst_images/Left_Arrow.bmp,,1,966,
go,sst_images/Left_Arrow.bmp,,1,980,
go,sst_images/Left_Arrow.bmp,,1,816,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,820,
go,sst_images/Right_Arrow.bmp,,2,819,
go,sst_images/Left_Arrow.bmp,,1,1129,
go,sst_images/Left_Arrow.bmp,,1,1167,
go,sst_images/Right_Arrow.bmp,,2,1237,
go,sst_images/Right_Arrow.bmp,,2,838,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,805,
go,sst_images/Left_Arrow.bmp,,1,960,
go,sst_images/Right_Arrow.bmp,,2,1237,
go,sst_images/Left_Arrow.bmp,,1,715,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,711,
go,sst_images/Right_Arrow.bmp,,2,1027,
go,sst_images/Right_Arrow.bmp,,2,850,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,850,
go,sst_images/Left_Arrow.bmp,,1,1124,
go,sst_images/Right_Arrow.bmp,,2,724,
go,sst_images/Left_Arrow.bmp,,1,986,
go,sst_images/Right_Arrow.bmp,,2,779,
go,sst_images/Left_Arrow.bmp,,1,765,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,804,
go,sst_images/Right_Arrow.bmp,,2,709,
go,sst_images/Right_Arrow.bmp,,2,724,
go,sst_images/Left_Arrow.bmp,,1,868,
go,sst_images/Left_Arrow.bmp,,1,851,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1032,
go,sst_images/Right_Arrow.bmp,,2,816,
go,sst_images/Right_Arrow.bmp,,2,1631,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,928,
go,sst_images/Right_Arrow.bmp,,2,1298,
go,sst_images/Left_Arrow.bmp,,1,722,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,722,
go,sst_images/Left_Arrow.bmp,,1,896,
go,sst_images/Right_Arrow.bmp,,2,850,
go,sst_images/Left_Arrow.bmp,,1,730,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,838,
go,sst_images/Right_Arrow.bmp,,2,874,
go,sst_images/Left_Arrow.bmp,,1,834,
go,sst_images/Right_Arrow.bmp,,2,900,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1155,
go,sst_images/Left_Arrow.bmp,,1,910,
go,sst_images/Left_Arrow.bmp,,1,736,
go,sst_images/Left_Arrow.bmp,,1,709,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,887,
go,sst_images/Right_Arrow.bmp,,2,726,
go,sst_images/Left_Arrow.bmp,,1,763,
go,sst_images/Right_Arrow.bmp,,2,764,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,994,
go,sst_images/Right_Arrow.bmp,,2,1239,
go,sst_images/Left_Arrow.bmp,,1,1049,
go,sst_images/Right_Arrow.bmp,,2,888,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,960,
go,sst_images/Right_Arrow.bmp,,2,747,
go,sst_images/Left_Arrow.bmp,,1,750,
go,sst_images/Left_Arrow.bmp,,1,704,
go,sst_images/Right_Arrow.bmp,,2,1541,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,725,
go,sst_images/Right_Arrow.bmp,,2,1024,
go,sst_images/Left_Arrow.bmp,,1,792,
go,sst_images/Right_Arrow.bmp,,2,1165,
go,sst_images/Left_Arrow.bmp,,1,1528,
go,sst_images/Right_Arrow.bmp,,2,882,
go,sst_images/Left_Arrow.bmp,,1,1436,
go,sst_images/Right_Arrow.bmp,,2,1030,
go,sst_images/Left_Arrow.bmp,,1,900,
go,sst_images/Right_Arrow.bmp,,2,725,
go,sst_images/Left_Arrow.bmp,,1,1106,
go,sst_images/Right_Arrow.bmp,,2,1061,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,887,
go,sst_images/Left_Arrow.bmp,,1,829,
go,sst_images/Right_Arrow.bmp,,2,946,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,834,
go,sst_images/Right_Arrow.bmp,,2,804,
go,sst_images/Left_Arrow.bmp,,1,1694,
go,sst_images/Left_Arrow.bmp,,1,1611,
go,sst_images/Left_Arrow.bmp,,1,1676,
go,sst_images/Right_Arrow.bmp,,2,1181,
go,sst_images/Left_Arrow.bmp,,1,729,
go,sst_images/Left_Arrow.bmp,,1,719,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1000,
go,sst_images/Left_Arrow.bmp,,1,827,
go,sst_images/Right_Arrow.bmp,,2,941,
go,sst_images/Left_Arrow.bmp,,1,742,
go,sst_images/Left_Arrow.bmp,,1,966,
go,sst_images/Right_Arrow.bmp,,2,864,
go,sst_images/Right_Arrow.bmp,,2,743,
go,sst_images/Left_Arrow.bmp,,1,877,
go,sst_images/Right_Arrow.bmp,,2,808,
go,sst_images/Left_Arrow.bmp,,1,725,
go,sst_images/Left_Arrow.bmp,,1,736,
go,sst_images/Right_Arrow.bmp,,2,937,
go,sst_images/Left_Arrow.bmp,,1,835,
go,sst_images/Right_Arrow.bmp,,2,932,
go,sst_images/Left_Arrow.bmp,,1,905,
go,sst_images/Right_Arrow.bmp,,2,1123,
go,sst_images/Right_Arrow.bmp,,2,762,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,702,
go,sst_images/Left_Arrow.bmp,,1,854,
go,sst_images/Right_Arrow.bmp,,2,956,
go,sst_images/Left_Arrow.bmp,,1,923,
go,sst_images/Right_Arrow.bmp,,2,786,
go,sst_images/Left_Arrow.bmp,,1,808,
go,sst_images/Right_Arrow.bmp,,2,723,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,724,
go,sst_images/Left_Arrow.bmp,,1,701,
go,sst_images/Left_Arrow.bmp,,1,711,
go,sst_images/Right_Arrow.bmp,,2,901,
go,sst_images/Left_Arrow.bmp,,1,724,
go,sst_images/Right_Arrow.bmp,,2,761,
go,sst_images/Right_Arrow.bmp,,2,735,
