trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.bmp,,1,713,
go,sst_images/Right_Arrow.bmp,,2,1220,
go,sst_images/Right_Arrow.bmp,,2,708,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,822,
go,sst_images/Left_Arrow.bmp,,1,973,
go,sst_images/Left_Arrow.bmp,,1,727,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,776,
go,sst_images/Right_Arrow.bmp,,2,722,
go,sst_images/Left_Arrow.bmp,,1,710,
go,sst_images/Right_Arrow.bmp,,2,996,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,706,
go,sst_images/Right_Arrow.bmp,,2,1454,
go,sst_images/Left_Arrow.bmp,,1,822,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1148,
go,sst_images/Right_Arrow.bmp,,2,907,
go,sst_images/Left_Arrow.bmp,,1,807,
go,sst_images/Left_Arrow.bmp,,1,896,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,739,
go,sst_images/Left_Arrow.bmp,,1,726,
go,sst_images/Right_Arrow.bmp,,2,1306,
go,sst_images/Left_Arrow.bmp,,1,738,
go,sst_images/Left_Arrow.bmp,,1,1524,
go,sst_images/Right_Arrow.bmp,,2,1137,
go,sst_images/Left_Arrow.bmp,,1,718,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,773,
go,sst_images/Right_Arrow.bmp,,2,1551,
go,sst_images/Left_Arrow.bmp,,1,779,
go,sst_images/Right_Arrow.bmp,,2,976,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,935,
go,sst_images/Right_Arrow.bmp,,2,940,
go,sst_images/Left_Arrow.bmp,,1,940,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,875,
go,sst_images/Right_Arrow.bmp,,2,798,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,716,
go,sst_images/Right_Arrow.bmp,,2,753,
go,sst_images/Left_Arrow.bmp,,1,1126,
go,sst_images/Right_Arrow.bmp,,2,914,
go,sst_images/Left_Arrow.bmp,,1,732,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1089,
go,sst_images/Left_Arrow.bmp,,1,724,
go,sst_images/Right_Arrow.bmp,,2,915,
go,sst_images/Right_Arrow.bmp,,2,899,
go,sst_images/Left_Arrow.bmp,,1,866,
go,sst_images/Left_Arrow.bmp,,1,773,
go,sst_images/Right_Arrow.bmp,,2,799,
