trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation
go,sst_images/Left_Arrow.BMP,,1,955,
go,sst_images/Right_Arrow.BMP,,2,925,
go,sst_images/Right_Arrow.BMP,,2,925,
go,sst_images/Left_Arrow.BMP,,1,865,
go,sst_images/Left_Arrow.BMP,,1,1045,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,
go,sst_images/Right_Arrow.BMP,,2,745,
go,sst_images/Left_Arrow.BMP,,1,820,
go,sst_images/Right_Arrow.BMP,,2,1090,
go,sst_images/Right_Arrow.BMP,,2,700,
go,sst_images/Left_Arrow.BMP,,1,760,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,
go,sst_images/Right_Arrow.BMP,,2,730,
go,sst_images/Left_Arrow.BMP,,1,910,
go,sst_images/Left_Arrow.BMP,,1,955,
go,sst_images/Left_Arrow.BMP,,1,1045,
go,sst_images/Right_Arrow.BMP,,2,1045,
go,sst_images/Left_Arrow.BMP,,1,985,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,
go,sst_images/Left_Arrow.BMP,,1,775,
go,sst_images/Right_Arrow.BMP,,2,1015,
go,sst_images/Left_Arrow.BMP,,1,760,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,
go,sst_images/Right_Arrow.BMP,,2,715,
go,sst_images/Left_Arrow.BMP,,1,745,3264
