condition	onset	duration	probeResp.corr	amplitude	trial_type
WinSmall	61.8396	1.5003000000000029	1.0	1	hit
WinBig	93.3392	1.5004999999999882	1.0	1	hit
WinBig	150.6766	1.5001000000000033	1.0	1	hit
WinSmall	186.0117	1.4998999999999967	1.0	1	hit
WinBig	191.5139	1.4964999999999975	1.0	1	hit
WinSmall	203.5142	1.4961000000000126	1.0	1	hit
WinSmall	234.391	1.5405000000000086	1.0	1	hit
WinBig	246.3893	1.5407000000000153	1.0	1	hit
WinSmall	315.892	1.5008000000000266	1.0	1	hit
WinBig	39.3782	1.5420999999999978	0.0	1	miss
WinBig	47.3385	1.546199999999999	0.0	1	miss
WinSmall	53.7948	1.542899999999996	0.0	1	miss
WinBig	67.8394	1.4992000000000019	0.0	1	miss
WinSmall	131.7597	1.5398999999999887	0.0	1	miss
WinSmall	173.5131	1.4976000000000056	0.0	1	miss
WinSmall	226.9319	1.497399999999999	0.0	1	miss
WinBig	239.8887	1.5411000000000001	0.0	1	miss
WinSmall	266.3923	1.4971000000000458	0.0	1	miss
WinBig	321.8951	1.496499999999969	0.0	1	miss
WinBig	327.3928	1.4997999999999934	0.0	1	miss
